カテゴリ,用語,解説
非機能要件,性能,単位時間あたりの処理件数（スループット）や応答時間（レスポンスタイム）など、システムの処理能力に関する要件。
非機能要件,可用性,システムが要求された機能を継続して提供できる能力。稼働率（例：99.9%）やRTO・RPOで定量的に表現される。
非機能要件,セキュリティ,不正アクセス・情報漏えい・改ざんなどの脅威からシステムとデータを保護するための要件。機密性・完全性・可用性（CIA）が基本概念。
非機能要件,拡張性,利用者数・データ量・機能の増加に対してシステムを追加コストを抑えながら拡張できる性質。スケーラビリティとも呼ばれる。
非機能要件,保守性,障害対応・機能追加・変更を効率よく行えるシステムの性質。可読性・モジュール性・テスト容易性が影響する。
非機能要件,障害復旧,障害発生時にサービスを復旧するまでの目標時間（RTO）と許容できるデータ損失範囲（RPO）を定めた要件。
非機能要件,監視,システムのリソース使用率・エラー率・レスポンスタイムなどを継続的に計測し、異常を検知・通知する仕組み。
AI・生成AI,LLM,Large Language Model。大規模なテキストデータで事前学習された深層学習モデル。文章生成・要約・翻訳・コード生成などに活用される。
AI・生成AI,生成AI API,LLMや画像生成モデルなどの生成AI機能をHTTP経由で利用するAPI。OpenAI APIやAmazon Bedrockなどが代表例。
AI・生成AI,プロンプト,生成AIモデルへの入力テキスト。指示・文脈・例示などを含め、出力品質を左右する重要な要素。プロンプトエンジニアリングとして体系化されている。
AI・生成AI,トークン,LLMがテキストを処理する際の基本単位。単語や文字の断片に相当し、入出力トークン数がAPI料金や処理上限に直結する。
AI・生成AI,RAG,Retrieval-Augmented Generation。外部知識ベースから関連文書を検索してプロンプトに付加し、LLMの回答精度を高める手法。ハルシネーション抑制にも有効。
AI・生成AI,Embedding,テキストや画像などを意味を保持した高次元ベクトルに変換する技術。類似度検索やRAGのインデックス構築に使われる。
AI・生成AI,ベクトルDB,Embeddingで生成したベクトルデータを格納し、コサイン類似度などで近傍検索を高速に行うデータベース。RAGの基盤として利用される。
AI・生成AI,ハルシネーション,LLMが事実と異なる情報をもっともらしく生成する現象。RAGやファクトチェックの仕組みで抑制が図られる。
AI・生成AI,ファインチューニング,事前学習済みモデルを特定ドメインのデータで追加学習し、特定タスクへの適合性を高める手法。
ストラテジ,経営戦略,企業が長期的な目標を達成するために、経営資源をどのように配分・活用するかを定めた方針・計画。
ストラテジ,SWOT分析,強み（Strengths）・弱み（Weaknesses）・機会（Opportunities）・脅威（Threats）の4軸で自社の状況を整理する戦略分析フレームワーク。
ストラテジ,PPM,Product Portfolio Management。市場成長率と市場占有率の2軸で事業を「花形」「金のなる木」「問題児」「負け犬」に分類し、資源配分を判断する手法。
ストラテジ,バランススコアカード,財務・顧客・業務プロセス・学習と成長の4視点で戦略目標とKPIを設定し、戦略の実行状況を管理するフレームワーク。
ストラテジ,KGI,Key Goal Indicator。最終的な経営目標の達成度を測る指標。KPIの上位概念に位置する。
ストラテジ,KPI,Key Performance Indicator。目標達成に向けたプロセスの進捗を定量的に測る指標。KGI達成のための中間指標として設定される。
ストラテジ,CSR,Corporate Social Responsibility。企業が利益追求だけでなく、環境・社会・ガバナンスに配慮した活動を行う責任。
ストラテジ,コアコンピタンス,競合他社が容易に模倣できない、企業固有の中核的な強みや能力。競争優位の源泉となる。
ストラテジ,アウトソーシング,自社業務の一部を外部の専門企業に委託すること。コスト削減やコア業務への集中を目的とする。
ストラテジ,BPO,Business Process Outsourcing。業務プロセス全体を外部企業に委託する形態。単純な作業委託より広範な業務移管を指す。
ストラテジ,M&A,Mergers and Acquisitions。企業の合併・買収の総称。事業拡大・技術獲得・市場参入などを目的として行われる。
ストラテジ,ベンチマーキング,業界最高水準の企業や競合他社の製品・プロセスを比較基準として自社の改善目標を設定する手法。
ストラテジ,ニッチ戦略,大企業が参入しにくい特定の市場セグメントに特化して競争優位を築く戦略。
ストラテジ,ブルーオーシャン戦略,競争のない未開拓市場を創造し、競争自体を無意味にする戦略。レッドオーシャン（競争激化市場）と対比される。
ストラテジ,CRM,Customer Relationship Management。顧客情報を一元管理し、関係強化・売上向上・顧客満足度改善を図る戦略・システムの総称。
ストラテジ,SCM,Supply Chain Management。原材料調達から製造・物流・販売までの供給連鎖全体を最適化する管理手法。
ストラテジ,ERP,Enterprise Resource Planning。財務・人事・製造・販売などの基幹業務を統合管理する情報システム。
ストラテジ,DX,Digital Transformation。デジタル技術を活用してビジネスモデルや業務プロセスを変革し、競争優位を確立する取り組み。
ストラテジ,IoT,Internet of Things。センサーや機器をインターネットに接続し、データ収集・遠隔制御・自動化を実現する仕組み。
ストラテジ,フィンテック,金融（Finance）と技術（Technology）を組み合わせた造語。スマホ決済・ロボアドバイザー・仮想通貨などが代表例。
ストラテジ,シェアリングエコノミー,個人や企業が保有する資産・スキルをインターネットを介して共有・貸し借りする経済モデル。
ストラテジ,サブスクリプションモデル,一定期間の利用権に対して継続的に料金を支払うビジネスモデル。安定収益と顧客囲い込みが特徴。
ストラテジ,フリーミアム,基本機能を無料提供し、高度な機能や追加サービスを有料化するビジネスモデル。
ストラテジ,ロングテール,売れ筋以外の多品種少量商品の合計売上が、ヒット商品の売上を上回る現象。ECサイトで顕著に見られる。
ストラテジ,プラットフォームビジネス,複数の利用者グループを結びつけ、相互作用から価値を生み出すビジネスモデル。ネットワーク効果が競争優位の源泉となる。
マネジメント,プロジェクト,明確な目標・期間・予算を持つ一時的な業務。通常業務（オペレーション）と区別される。
マネジメント,プロジェクトマネジメント,プロジェクトの目標達成に向けてスコープ・スケジュール・コスト・品質・リスクなどを計画・実行・監視・制御する活動。
マネジメント,WBS,Work Breakdown Structure。プロジェクトの作業を階層的に分解した構造図。スケジュール・コスト・担当の基礎となる。
マネジメント,ガントチャート,作業項目と期間を横棒グラフで表したスケジュール管理ツール。進捗の可視化に広く使われる。
マネジメント,クリティカルパス,プロジェクトの最長経路。この経路上の作業が遅延すると全体の完了日が遅れるため、重点管理対象となる。
マネジメント,マイルストーン,プロジェクトの重要な節目となる中間目標・完了基準。進捗確認の基準点として設定される。
マネジメント,リスクマネジメント,プロジェクトや事業に影響を与えるリスクを識別・評価し、回避・軽減・転嫁・受容の対応策を講じる活動。
マネジメント,PMBOK,Project Management Body of Knowledge。PMIが体系化したプロジェクトマネジメントの知識体系。世界標準として広く参照される。
マネジメント,ITサービスマネジメント,ITサービスの計画・設計・移行・運用・改善を体系的に管理する活動。ITILが代表的なフレームワーク。
マネジメント,ITIL,IT Infrastructure Library。ITサービスマネジメントのベストプラクティスをまとめたフレームワーク。サービスデスクやインシデント管理などを定義する。
マネジメント,SLA,Service Level Agreement。サービス提供者と利用者の間で合意したサービス水準（稼働率・応答時間など）を定めた契約。
マネジメント,インシデント管理,ITサービスの中断や品質低下を引き起こす事象（インシデント）を迅速に解決し、サービスを復旧する管理プロセス。
マネジメント,変更管理,ITシステムへの変更を計画・承認・実施・レビューする管理プロセス。変更による障害リスクを最小化することが目的。
マネジメント,構成管理,ITシステムを構成するハードウェア・ソフトウェア・ドキュメントなどの構成情報を正確に記録・管理するプロセス。
マネジメント,BCP,Business Continuity Plan。災害・障害・サイバー攻撃などの緊急事態が発生した際に、事業を継続または早期復旧するための計画。
マネジメント,BCM,Business Continuity Management。BCPを策定・維持・改善するための継続的な管理活動。
マネジメント,RTO,Recovery Time Objective。障害発生からサービス復旧までの目標時間。BCPやシステム設計の基準となる。
マネジメント,RPO,Recovery Point Objective。障害発生時に許容できるデータ損失の時間的範囲。バックアップ頻度の設計基準となる。
マネジメント,システム監査,情報システムの信頼性・安全性・効率性を独立した立場から検証・評価する活動。
マネジメント,内部統制,組織が業務の有効性・財務報告の信頼性・法令遵守を確保するために整備する仕組み。
マネジメント,コンプライアンス,法令・規制・社内規定・倫理規範などを遵守すること。違反は企業の信頼失墜や法的制裁につながる。
マネジメント,ガバナンス,組織の意思決定・監督・説明責任の仕組み。ITガバナンスはITの利活用を適切に方向付け・管理する枠組みを指す。
テクノロジ,2進数,0と1の2種類の数字で数値を表す記数法。コンピューターの内部処理はすべて2進数で行われる。
テクノロジ,16進数,0〜9とA〜Fの16種類の記号で数値を表す記数法。2進数4桁を1桁で表現でき、メモリアドレスや色コードに使われる。
テクノロジ,ビット,コンピューターが扱う情報の最小単位。0または1の2値を表す。
テクノロジ,バイト,8ビットを1単位とした情報量の単位。1バイトで256種類の値を表現できる。
テクノロジ,CPU,Central Processing Unit。コンピューターの中枢で、命令の解釈・演算・制御を行う装置。クロック周波数やコア数が性能指標となる。
テクノロジ,メモリ（RAM）,CPU が直接アクセスする主記憶装置。プログラムの実行中にデータや命令を一時的に保持する。電源を切ると内容が消える揮発性メモリ。
テクノロジ,ストレージ,データを永続的に保存する補助記憶装置。HDD・SSD・フラッシュメモリなどがある。
テクノロジ,OS,Operating System。ハードウェアを管理し、アプリケーションに共通サービスを提供するソフトウェア。Windows・macOS・Linuxが代表例。
テクノロジ,ミドルウェア,OSとアプリケーションの中間に位置するソフトウェア。WebサーバーやDBMSなど、アプリが共通利用する機能を提供する。
テクノロジ,ファームウェア,ハードウェアに組み込まれた制御用ソフトウェア。BIOSやルーターの制御プログラムが代表例。
テクノロジ,クロック周波数,CPUが1秒間に実行できるサイクル数。Hz（ヘルツ）で表され、値が大きいほど処理速度が速い。
テクノロジ,キャッシュメモリ,CPUとメインメモリの速度差を埋めるための高速な小容量メモリ。頻繁にアクセスするデータを一時保持する。
テクノロジ,RAID,複数のディスクを組み合わせて冗長性や性能を向上させる技術。RAID0（ストライピング）・RAID1（ミラーリング）などの方式がある。
テクノロジ,仮想化,物理リソースをソフトウェアで抽象化し、複数の論理リソースとして利用できるようにする技術。サーバー・ストレージ・ネットワークに適用される。
テクノロジ,ハイパーバイザー,物理サーバー上で複数の仮想マシンを動作させるための管理ソフトウェア。VMwareやKVMが代表例。
テクノロジ,プロトコル,通信を行う機器間で取り決めた手順・規約。TCP/IP・HTTP・SMTPなどがある。
テクノロジ,TCP/IP,インターネットの基盤となる通信プロトコル群。TCPが信頼性のある通信を、IPがアドレス指定とルーティングを担う。
テクノロジ,OSI参照モデル,ネットワーク通信を7つの層（物理・データリンク・ネットワーク・トランスポート・セッション・プレゼンテーション・アプリケーション）に分けたモデル。
テクノロジ,LAN,Local Area Network。建物内や敷地内など限られた範囲のネットワーク。
テクノロジ,WAN,Wide Area Network。地理的に離れた拠点間を結ぶ広域ネットワーク。インターネットもWANの一種。
テクノロジ,ルーター,異なるネットワーク間でパケットを転送する機器。IPアドレスを基にルーティングを行う。
テクノロジ,スイッチ,同一ネットワーク内でMACアドレスを基にフレームを転送する機器。ハブより効率的な通信が可能。
テクノロジ,MACアドレス,ネットワーク機器のNICに割り当てられた固有の物理アドレス。48ビットで表現される。
テクノロジ,DHCP,Dynamic Host Configuration Protocol。ネットワーク上の機器にIPアドレスを自動的に割り当てるプロトコル。
テクノロジ,NAT,Network Address Translation。プライベートIPアドレスとグローバルIPアドレスを相互変換する技術。
テクノロジ,サブネットマスク,IPアドレスのネットワーク部とホスト部を区別するためのビットマスク。ネットワークの範囲を定義する。
テクノロジ,無線LAN（Wi-Fi）,電波を使ってケーブルなしでネットワークに接続する技術。IEEE 802.11規格に基づく。
テクノロジ,暗号化アルゴリズム,データを暗号化・復号するための数学的手順。AES（共通鍵）やRSA（公開鍵）が代表的。
テクノロジ,公開鍵暗号,暗号化に公開鍵、復号に秘密鍵を使う非対称暗号方式。鍵配送問題を解決し、デジタル署名にも利用される。
テクノロジ,デジタル署名,送信者が秘密鍵でデータに署名し、受信者が公開鍵で検証することで、改ざん検知と送信者認証を実現する仕組み。
テクノロジ,PKI,Public Key Infrastructure。デジタル証明書を用いて公開鍵の正当性を保証する仕組み。認証局（CA）が証明書を発行する。
テクノロジ,ハッシュ関数,任意長のデータから固定長のハッシュ値を生成する一方向関数。データの改ざん検知やパスワード保存に使われる。
テクノロジ,マルウェア,悪意を持って設計されたソフトウェアの総称。ウイルス・ワーム・トロイの木馬・ランサムウェアなどが含まれる。
テクノロジ,ランサムウェア,感染したコンピューターのファイルを暗号化し、復号と引き換えに身代金を要求するマルウェア。
テクノロジ,フィッシング,正規のサービスを装った偽サイトやメールで、IDやパスワード・クレジットカード情報を詐取する攻撃手法。
テクノロジ,SQLインジェクション,Webアプリの入力フォームに不正なSQL文を挿入し、データベースを不正操作する攻撃手法。
テクノロジ,XSS,Cross-Site Scripting。Webページに悪意のあるスクリプトを埋め込み、閲覧者のブラウザ上で実行させる攻撃手法。
テクノロジ,DoS攻撃,Denial of Service攻撃。大量のリクエストを送りつけてサーバーのリソースを枯渇させ、サービスを停止させる攻撃。
テクノロジ,不正アクセス,権限のない者がコンピューターやネットワークに侵入する行為。不正アクセス禁止法で禁じられている。
テクノロジ,情報セキュリティの3要素,機密性（Confidentiality）・完全性（Integrity）・可用性（Availability）の頭文字をとったCIA。情報セキュリティの基本概念。
テクノロジ,アクセス制御,ユーザーやシステムがリソースにアクセスできる範囲を制限する仕組み。認証と認可の組み合わせで実現する。
テクノロジ,バイオメトリクス認証,指紋・顔・虹彩・静脈など身体的特徴を用いた本人確認方式。なりすましが困難で利便性も高い。
テクノロジ,ゼロトラスト,「すべてのアクセスを信頼しない」を原則とするセキュリティモデル。社内外を問わず常に認証・認可・検証を行う。
テクノロジ,ISMS,Information Security Management System。組織の情報セキュリティを体系的に管理するための仕組み。ISO/IEC 27001が国際規格。
テクノロジ,プログラミング言語,コンピューターへの命令を記述するための形式言語。Python・Java・C・JavaScriptなど多数存在する。
テクノロジ,コンパイラ,高水準言語で書かれたソースコードを機械語に一括変換するプログラム。実行前に変換が完了する。
テクノロジ,インタープリタ,ソースコードを1行ずつ解釈しながら実行するプログラム。コンパイル不要で即時実行できる。
テクノロジ,アルゴリズム,問題を解くための手順・計算方法を明確に定義したもの。計算量（時間・空間）で効率を評価する。
テクノロジ,フローチャート,処理の流れを図形と矢印で視覚的に表した図。アルゴリズムや業務フローの設計・説明に使われる。
テクノロジ,オブジェクト指向,データ（属性）と処理（メソッド）をオブジェクトとして一体化し、継承・カプセル化・ポリモーフィズムを活用する設計思想。
テクノロジ,UML,Unified Modeling Language。オブジェクト指向システムの設計を視覚化するための標準的な図法。クラス図・シーケンス図などがある。
テクノロジ,デバッグ,プログラムの誤り（バグ）を発見・修正する作業。ブレークポイントやログを活用して原因を特定する。
テクノロジ,バージョン管理,ソースコードや文書の変更履歴を記録・管理する仕組み。Gitが代表的なツール。
テクノロジ,CI/CD,Continuous Integration / Continuous Delivery。コードの変更を自動的にビルド・テスト・デプロイするパイプライン。開発速度と品質を両立する。
テクノロジ,DevOps,開発（Development）と運用（Operations）が連携し、ソフトウェアの開発・デプロイ・運用を高速かつ継続的に行う文化・手法。
テクノロジ,マイクロサービス,アプリケーションを独立してデプロイ可能な小さなサービスに分割するアーキテクチャスタイル。各サービスはAPIで連携する。
テクノロジ,サーバーレス,サーバーの管理をクラウドプロバイダーに委ね、コードの実行単位で課金されるアーキテクチャ。AWS LambdaやAzure Functionsが代表例。
