カテゴリ,用語,解説
ネットワーク,VPN,インターネットなどを利用して、仮想的に安全な専用通信経路を作る仕組み。
ネットワーク,CDN,ユーザーに近い場所から画像や動画などを配信し、Webコンテンツの表示を高速化する仕組み。
ネットワーク,レイテンシ,リクエストを送ってから結果が返ってくるまでの遅延時間。
ネットワーク,帯域,一定時間に通信できるデータ量の大きさ。
セキュリティ,認証,「あなたは誰か」を確認する本人確認の仕組み。
セキュリティ,認可,認証された利用者が「何をしてよいか」を確認する仕組み。
セキュリティ,ID / パスワード,ユーザーを識別・認証するための基本的な情報。
セキュリティ,個人情報,氏名、住所、メールアドレスなど、個人を識別できる情報。
セキュリティ,暗号化,データを第三者が読みにくい形式に変換し、情報を保護すること。
セキュリティ,SSL/TLS,インターネット通信を暗号化し、安全に送受信するための技術。
セキュリティ,脆弱性,システムやソフトウェアに存在するセキュリティ上の弱点。
セキュリティ,WAF,Webアプリケーションへの攻撃を検知・遮断するための仕組み。
セキュリティ,ファイアウォール,ネットワークへのアクセスをルールに基づいて制御する仕組み。
セキュリティ,多要素認証（MFA）,パスワードに加えて認証アプリや生体情報など、複数の要素を使って本人確認する方式。
セキュリティ,権限,システム上で利用者が実行できる操作や閲覧できる情報の範囲。
セキュリティ,ログ,システム上で発生した操作や処理などを記録したもの。
セキュリティ,監査ログ,誰が、いつ、何をしたかを後から追跡するための記録。
開発・プロジェクト,要件定義,システムに何を実現してほしいか、必要な機能や条件を整理・決定する工程。
開発・プロジェクト,要件,システムやサービスで実現する必要があること。
開発・プロジェクト,仕様,システムがどのように動くかを具体的に決めた内容。
開発・プロジェクト,基本設計,要件をもとに、システムの構造や主要な機能・画面などを設計する工程。
開発・プロジェクト,詳細設計,基本設計をさらに具体化し、個々の処理やデータ構造などを設計する工程。
開発・プロジェクト,実装／開発,設計内容をもとにプログラムを作る工程。
開発・プロジェクト,テスト,システムが要求どおり正しく動作するか確認する工程。
開発・プロジェクト,単体テスト,個々の機能やプログラム単位で正しく動くか確認するテスト。
開発・プロジェクト,結合テスト,複数の機能やシステムを組み合わせた状態で正しく動くか確認するテスト。
開発・プロジェクト,受入テスト,利用者・発注側が、要求や業務上の期待を満たしているか確認するテスト。
開発・プロジェクト,リリース,新しいシステムや機能を実際の利用者に提供開始すること。
開発・プロジェクト,本番環境,実際のユーザーが利用する環境。
開発・プロジェクト,開発環境,開発者がプログラムを作成・検証するための環境。
開発・プロジェクト,ステージング環境,本番環境に近い状態で、リリース前の最終確認を行う環境。
開発・プロジェクト,デプロイ,開発したプログラムをサーバーなどに配置し、利用可能な状態にすること。
開発・プロジェクト,アジャイル,小さく作って試し、利用者の反応や結果を見ながら改善を繰り返す開発の考え方。
開発・プロジェクト,ウォーターフォール,要件定義、設計、開発、テストなどを順番に進める開発方式。
開発・プロジェクト,スクラム,アジャイル開発でよく使われる、短期間の反復開発を行うフレームワーク。
開発・プロジェクト,スプリント,スクラムなどで、一定期間内に開発・検証する区切り。
開発・プロジェクト,バックログ,今後実施する機能追加や作業などを一覧化したもの。
開発・プロジェクト,MVP,Minimum Viable Product。最低限の機能でサービスを提供し、市場や顧客の反応を検証する考え方。
開発・プロジェクト,PoC,Proof of Concept。新しい技術やアイデアが技術的に実現可能かを小さく検証すること。
開発・プロジェクト,技術的負債,短期的な優先や簡易な実装によって、将来の変更・保守コストが増えている状態。
SaaS・外部サービス,SaaS,ソフトウェアを自社で構築・保有せず、インターネット経由でサービスとして利用する形態。
SaaS・外部サービス,PaaS,アプリケーションを開発・実行するための基盤をサービスとして提供する形態。
SaaS・外部サービス,IaaS,サーバー、ストレージ、ネットワークなどのITインフラをサービスとして提供する形態。
SaaS・外部サービス,サブスクリプション,月額・年額など、継続的に料金を支払ってサービスを利用する方式。
SaaS・外部サービス,外部サービス,自社で開発・運用するのではなく、他社などが提供するサービスを利用すること。
SaaS・外部サービス,ベンダー,システム、ソフトウェア、クラウドなどを提供する会社や事業者。
SaaS・外部サービス,ライセンス,ソフトウェアなどを利用する権利。
SaaS・外部サービス,従量課金,API利用回数、データ量、処理量など、利用した量に応じて料金が発生する方式。
SaaS・外部サービス,SLA,Service Level Agreement。稼働率など、サービス提供者が保証・目標とするサービス水準を定めたもの。
非機能要件,性能,システムがどれくらい速く処理できるかなど、処理能力に関する条件。
非機能要件,可用性,システムをどれだけ継続して利用できるかに関する条件。
非機能要件,セキュリティ,不正アクセスや情報漏えいなどからシステムやデータを守るための条件。
非機能要件,拡張性,利用者やデータ量の増加、機能追加などに対応してシステムを拡張できる性質。
非機能要件,保守性,障害対応や機能追加、修正などを行いやすい性質。
非機能要件,障害復旧,システム障害が発生した際に、どの程度の時間・手順でサービスを復旧するかという考え方。
非機能要件,監視,システムの状態や異常を継続的に確認し、障害などを検知する仕組み。
AI・生成AI,LLM,Large Language Model。大量の文章データを学習し、文章の理解・生成などを行う大規模言語モデル。
AI・生成AI,生成AI API,文章生成や画像生成などのAI機能を、自社のサービスやシステムから利用するためのAPI。
AI・生成AI,プロンプト,生成AIに対して与える指示や入力文。
AI・生成AI,トークン,LLMが文章を処理する際の基本的な単位。処理量やAPI料金などに関係する。
AI・生成AI,RAG,Retrieval-Augmented Generation。外部文書などを検索し、その情報をAIへの入力に加えて回答を生成する仕組み。
AI・生成AI,Embedding,文章などのデータを数値ベクトルに変換する技術。意味の近さを検索する用途などに使われる。
AI・生成AI,ベクトルDB,Embeddingなどのベクトルデータを保存し、類似するデータを検索するためのデータベース。
AI・生成AI,ハルシネーション,生成AIが、もっともらしく見えるが事実とは異なる情報を生成すること。
AI・生成AI,ファインチューニング,既存のAIモデルを特定の用途やデータに合わせて追加学習し、振る舞いを調整する方法。
